Дата	Количество	Сумма	Наименование
2024-01-18 22:13:00	1	59,75	ВАФЕЛЬНЫЙ ХЛЕБ ЕЛИЗАВЕТА С ЧЕСНОКОМ 80Г
2024-01-18 22:13:00	1	199,76	ШОКОЛАД ПОБЕДА МОЛОЧНЫЙ 36% КАКАО БЕЗ САХАРА 100Г (1/20)
2024-01-26 18:01:00	1	168,43	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-01-26 18:01:00	1	56,55	ВАФЕЛЬНЫЙ ХЛЕБ ЕЛИЗАВЕТА С ЧЕСНОКОМ 80Г
2024-02-03 20:02:00	1	166,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-02-28 17:23:00	2	355,96	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-02-28 17:23:00	1	59,75	ВАФЕЛЬНЫЙ ХЛЕБ ЕЛИЗАВЕТА С ЧЕСНОКОМ 80Г
2024-03-06 22:25:00	21	2097,9	ШОКОЛАД КОРКУНОВ МОЛОЧНЫЙ С ЦЕЛ. ФУНДУКОМ 90Г (1/12)
2024-03-06 22:25:00	2	355,96	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-03-10 14:28:00	1	59,75	ВАФЕЛЬНЫЙ ХЛЕБ ЕЛИЗАВЕТА С ЧЕСНОКОМ 80Г
2024-03-13 17:30:00	1	169,9	ШОКОЛАД RITTER SPORT МОЛОЧНЫЙ ЛЕСНОЙ ОРЕХ 100Г (1/12)
2024-03-13 17:30:00	1	99,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 65Г (1/22)
2024-03-13 17:30:00	1	105,77	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ КАПУСТОЙ 65Г (1/22)
2024-03-14 21:18:00	3	271,22	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 65Г (1/22)
2024-03-15 19:34:00	1	184,76	КОНФЕТЫ ПРИМ. КОНДИТЕР ФЕСТИВАЛЬ ПЛЕНКА МИКС 250Г (1/18)
2024-03-20 21:16:00	1	177,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-03-20 21:16:00	1	99,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 65Г (1/22)
2024-03-27 21:27:00	3	299,97	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 65Г (1/22)
2024-03-27 21:27:00	1	139,9	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-04-03 21:30:00	1	177,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-04-10 21:13:00	1	245,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 15ШТ ПЛЕНКА
2024-04-10 21:13:00	1	99,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 65Г (1/22)
2024-04-17 21:39:00	1	176,32	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-04-17 21:39:00	1	141,44	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2024-04-23 21:23:00	1	186,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-04-23 21:23:00	1	159,9	ШОКОЛАД RITTER SPORT ТЕМНЫЙ МИНДАЛЬ И АПЕЛЬСИН 100Г (1/12)
2024-04-23 21:23:00	1	149,99	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2024-05-02 21:09:00	2	373,96	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-05-07 18:51:00	1	119,9	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 10ШТ БОКС
2024-05-12 20:35:00	1	186,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-05-12 20:35:00	1	159,9	ШОКОЛАД RITTER SPORT МОЛОЧНЫЙ РОМ\ИЗЮМ\ДРОБЛ.ФУНДУК 100Г (1/12)
2024-05-18 17:23:00	1	169,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-05-24 14:16:00	1	169,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-05-30 21:23:00	1	149,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 10ШТ БОКС
2024-06-08 21:10:00	1	126,67	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 10ШТ БОКС
2024-06-08 21:10:00	1	75,83	ПЕЧЕНЬЕ ЗАТЯЖНОЕ ОРИОН GOUTE COFFEE 72Г
2024-06-12 20:12:00	1	169,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-06-17 20:45:00	1	160,1	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-06-17 20:45:00	1	56,29	ВАФЕЛЬНЫЙ ХЛЕБ РЖАНОЙ ЕЛИЗАВЕТА 75Г
2024-06-24 21:45:00	1	169,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-06-24 21:45:00	1	59,75	ВАФЕЛЬНЫЙ ХЛЕБ ЕЛИЗАВЕТА С ЧЕСНОКОМ 80Г
2024-06-28 15:12:00	1	199,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ УССУРИЙСКАЯ ПТФ 15ШТ ПЛЕНКА
2024-06-30 18:54:00	1	149,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-07-07 21:44:00	1	149,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-07-07 21:44:00	1	149,9	ШОКОЛАД ГОРЬКИЙ 70% КОРКУНОВ 90Г (1/14)
2024-07-15 21:37:00	2	339,96	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-07-15 21:37:00	1	59,75	ВАФЕЛЬНЫЙ ХЛЕБ ЕЛИЗАВЕТА С ЧЕСНОКОМ 80Г
2024-07-15 21:37:00	1	149,9	ШОКОЛАД ГОРЬКИЙ 70% КОРКУНОВ 90Г (1/14)
2024-07-21 22:01:00	1	158,68	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-07-26 17:59:00	1	149,9	ШОКОЛАД ГОРЬКИЙ 70% КОРКУНОВ 90Г (1/14)
2024-08-04 21:33:00	1	129,9	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-08-10 13:25:00	2	259,96	ЯЙЦО КУРИНОЕ 2 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-08-27 21:11:00	1	209,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 15ШТ ПЛЕНКА
2024-09-11 21:33:00	2	269,67	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-09-14 17:10:00	2	299,8	ШОКОЛАД ГОРЬКИЙ 55% КОРКУНОВ 90Г (1/14)
2024-09-20 21:36:00	1	169,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-09-26 21:39:00	1	228,86	КУРАГА 1 СОРТ АЛИЕВ 300Г
2024-09-26 21:39:00	1	229,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2024-09-26 21:39:00	2	519,98	ШОКОЛАД ГОРЬКИЙ 55% КОРКУНОВ 90Г (1/14)
2024-10-04 21:00:00	1	228,86	КУРАГА 1 СОРТ АЛИЕВ 300Г
2024-10-04 21:00:00	1	149,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-10-04 21:00:00	1	64,75	ВАФЕЛЬНЫЙ ХЛЕБ ЕЛИЗАВЕТА С ЧЕСНОКОМ 80Г
2024-10-12 21:38:00	1	229,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2024-10-23 21:59:00	1	57,22	ВАФЕЛЬНЫЙ ХЛЕБ ПРОСТОЙ ЕЛИЗАВЕТА 80Г
2024-10-23 21:59:00	1	217,47	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2024-11-05 19:10:00	1	165,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 10ШТ БОКС
2024-11-05 19:10:00	1	56,78	КРЕКЕР ЯШКИНО С СЫРОМ 135Г (1/24)
2024-11-10 21:14:00	1	234,75	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2024-11-18 21:08:00	1	234,75	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2024-11-24 19:14:00	1	175,77	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-12-05 12:38:00	1	238,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2024-12-10 20:37:00	1	237,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 15ШТ ПЛЕНКА
2024-12-10 20:37:00	1	239,9	ШОКОЛАД ГОРЬКИЙ BUCHERON С МОРСКОЙ СОЛЬЮ 90Г
2024-12-18 21:58:00	1	238,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2024-12-18 21:58:00	1	179,9	ШОКОЛАД ГОРЬКИЙ 70% КОРКУНОВ 90Г (1/14)
2024-12-18 21:58:00	1	239,98	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2024-12-21 16:54:00	1	369,9	КОНФЕТЫ РАФФАЭЛЛО 150Г Т15 (1/6)
2024-12-25 21:55:00	7	1679,86	ШОКОЛАД ПРИМ. КОНДИТЕР ТЕМНЫЙ С МОРСКОЙ СОЛЬЮ 100Г (1/18)
2024-12-25 21:55:00	1	175,77	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-12-29 21:04:00	2	304,25	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2024-12-29 21:04:00	2	419,8	КОНФЕТЫ TOFFIFEE ЛЕСНОЙ ОРЕХ С НУГОЙ И ШОКОЛАДОМ 125Г (1/30)
2024-12-29 21:04:00	2	349,8	ШОКОЛАД RITTER SPORT МОЛОЧНЫЙ МИНДАЛЬ И КАКАО КРЕМ 100Г
2024-12-29 21:04:00	3	749,7	КОНФЕТЫ КОРКУНОВ АССОРТИ ТЕМНЫЙ И МОЛОЧНЫЙ ШОКОЛАД 110Г
2025-01-04 16:30:00	1	175,77	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-01-11 17:33:00	1	237,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 15ШТ ПЛЕНКА
2025-01-16 22:39:00	1	349,98	ОРЕХ ГРЕЦКИЙ АЛИЕВ В СКОРЛУПЕ 500Г
2025-01-25 20:38:00	1	179,9	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-02-03 21:57:00	1	192,75	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2025-02-11 22:11:00	1	129,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-02-11 22:11:00	1	239,98	КУРАГА 1 СОРТ АЛИЕВ 300Г
2025-02-11 22:11:00	1	179,9	ШОКОЛАД ГОРЬКИЙ 55% КОРКУНОВ 90Г (1/14)
2025-02-26 22:11:00	1	158,31	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-02-26 22:11:00	1	179,9	ШОКОЛАД ГОРЬКИЙ 55% КОРКУНОВ 90Г (1/14)
2025-03-04 20:30:00	1	192,75	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2025-03-04 20:30:00	20	3598	ШОКОЛАД КОРКУНОВ МОЛОЧНЫЙ 90Г (1/14)
